Codice,Punti 1,Punti 2,Punti 3,Punti 4,Punti 5,Punti TOT,ateneo
455443341339755.0,4.5,7.5,34.5,22.5,14.2,83.2,Università degli Studi di PADOVA 
455443352238945.0,1.1,5.6,6.2,0.3,0.7,13.9,Università degli Studi di PADOVA 
455443451258843.0,6.0,7.5,25.0,16.8,4.3,59.6,Università degli Studi di PADOVA 
455443453358845.0,4.5,5.6,26.9,16.5,10.1,63.6,Università degli Studi di PADOVA 
455443551158755.0,2.2,2.2,29.6,8.9,4.8,47.7,Università degli Studi di PADOVA 
455444551358854.0,1.1,3.7,34.5,15.7,13.5,68.5,Università degli Studi di PADOVA 
455445342159845.0,6.0,7.5,32.6,18.7,19.5,84.3,Università degli Studi di PADOVA 
455445343359744.0,4.5,2.6,27.7,15.7,13.5,64.0,Università degli Studi di PADOVA 
455445351149853.0,6.0,7.5,32.6,22.5,17.6,86.2,Università degli Studi di PADOVA 
455445433259954.0,6.0,5.6,34.5,19.1,9.7,74.9,Università degli Studi di PADOVA 
455445551158954.0,6.0,7.5,34.5,19.5,19.5,87.0,Università degli Studi di PADOVA 
455453353238853.0,2.6,3.7,32.6,9.6,10.4,58.9,Università degli Studi di PADOVA 
455454532148854.0,6.0,4.1,29.6,9.2,2.9,51.8,Università degli Studi di PADOVA 
455454543158754.0,0.7,5.6,13.7,11.2,2.6,33.8,Università degli Studi di PADOVA 
455455341349943.0,4.1,4.1,3.8,6.7,2.6,21.3,Università degli Studi di PADOVA 
455455433359744.0,-1.6,3.7,6.8,7.0,11.2,27.1,Università degli Studi di PADOVA 
455455442338753.0,6.0,7.5,31.1,16.8,17.6,79.0,Università degli Studi di PADOVA 
455455541139754.0,0.7,7.5,9.9,0.6,0.7,19.4,Università degli Studi di PADOVA 
455533343139953.0,0.7,1.8,23.1,4.3,8.5,38.4,Università degli Studi di PADOVA 
455534332258945.0,3.0,6.0,18.2,7.8,10.5,45.5,Università degli Studi di PADOVA 
455534341149754.0,6.0,3.7,4.2,7.0,2.8,23.7,Università degli Studi di PADOVA 
455535542148944.0,6.0,6.0,31.1,19.1,16.1,78.3,Università degli Studi di PADOVA 
455535551239754.0,4.5,5.6,34.5,14.2,10.1,68.9,Università degli Studi di PADOVA 
455543332138755.0,6.0,7.5,34.5,20.6,18.0,86.6,Università degli Studi di PADOVA 
455543333248744.0,4.1,7.5,32.6,14.2,16.5,74.9,Università degli Studi di PADOVA 
455543533249944.0,6.0,7.5,34.5,22.5,19.5,90.0,Università degli Studi di PADOVA 
455543542339943.0,4.1,7.5,30.7,20.6,5.2,68.1,Università degli Studi di PADOVA 
455544343258753.0,2.2,7.5,32.6,15.3,13.1,70.7,Università degli Studi di PADOVA 
455544352339854.0,6.0,4.1,34.5,16.8,13.8,75.2,Università degli Studi di PADOVA 
455544451238854.0,6.0,7.5,34.5,22.5,19.5,90.0,Università degli Studi di PADOVA 
455544531159755.0,4.5,5.6,26.2,10.8,14.6,61.7,Università degli Studi di PADOVA 
455544542238944.0,0.3,3.7,11.7,-0.3,6.2,21.6,Università degli Studi di PADOVA 
455545333148855.0,2.2,6.0,16.3,11.2,6.3,42.0,Università degli Studi di PADOVA 
455545342238745.0,6.0,7.5,34.5,21.0,19.5,88.5,Università degli Studi di PADOVA 
455545553159955.0,2.6,5.6,33.0,17.2,16.1,74.5,Università degli Studi di PADOVA 
455553451359755.0,6.0,7.5,28.8,15.7,15.0,73.0,Università degli Studi di PADOVA 
455553453158955.0,2.2,7.5,20.1,3.6,8.5,41.9,Università degli Studi di PADOVA 
455553531238743.0,6.0,0.3,23.1,9.6,2.9,41.9,Università degli Studi di PADOVA 
455553542358755.0,6.0,3.7,34.5,19.1,8.9,72.2,Università degli Studi di PADOVA 
455553553159753.0,6.0,5.6,30.7,20.6,19.5,82.4,Università degli Studi di PADOVA 
455554353339745.0,4.1,3.7,13.0,8.6,8.2,37.6,Università degli Studi di PADOVA 
455554431158755.0,6.0,4.1,21.3,9.7,5.9,47.0,Università degli Studi di PADOVA 
455554541159743.0,6.0,7.5,34.5,16.8,17.6,82.4,Università degli Studi di PADOVA 
455555353349843.0,6.0,5.6,32.6,20.6,11.6,76.4,Università degli Studi di PADOVA 
455555433139845.0,6.0,7.5,34.5,17.2,13.8,79.0,Università degli Studi di PADOVA 
455555533348753.0,6.0,7.5,34.5,19.1,14.6,81.7,Università degli Studi di PADOVA 
455555542238954.0,6.0,7.5,27.7,22.5,7.1,70.8,Università degli Studi di PADOVA 
455555552258853.0,6.0,6.0,33.0,16.1,10.5,71.6,Università degli Studi di PADOVA 
455633332149754.0,6.0,7.5,32.6,18.7,19.5,84.3,Università degli Studi di PADOVA 
455633433348843.0,-1.2,4.1,23.9,13.4,14.2,54.4,Università degli Studi di PADOVA 
455633441358945.0,4.1,3.7,26.9,13.4,1.5,49.6,Università degli Studi di PADOVA 
455634551259845.0,6.0,4.5,34.5,20.6,16.1,81.7,Università degli Studi di PADOVA 
455635351358944.0,2.2,2.6,25.4,14.2,10.5,54.9,Università degli Studi di PADOVA 
455635442238745.0,0.3,1.8,12.1,-4.1,4.4,14.5,Università degli Studi di PADOVA 
455635443359754.0,4.1,7.5,20.1,12.3,15.7,59.7,Università degli Studi di PADOVA 
455635451139744.0,2.6,5.6,23.5,11.2,9.3,52.2,Università degli Studi di PADOVA 
455635541248953.0,4.1,5.6,23.1,4.7,4.7,42.2,Università degli Studi di PADOVA 
455643353259953.0,6.0,7.5,34.5,20.6,19.5,88.1,Università degli Studi di PADOVA 
455643451249843.0,2.6,3.7,17.4,7.4,2.1,33.2,Università degli Studi di PADOVA 
455643452259753.0,2.2,7.5,19.7,8.1,8.9,46.4,Università degli Studi di PADOVA 
455643531148745.0,4.1,1.8,9.8,7.3,6.2,29.2,Università degli Studi di PADOVA 
455644543259943.0,6.0,4.1,34.5,21.0,10.8,76.4,Università degli Studi di PADOVA 
455644551149843.0,6.0,7.5,26.9,16.8,17.6,74.8,Università degli Studi di PADOVA 
455645431138743.0,4.5,4.1,34.5,19.5,6.3,68.9,Università degli Studi di PADOVA 
455645433139743.0,4.1,2.2,32.6,22.5,10.0,71.4,Università degli Studi di PADOVA 
455645442149944.0,6.0,7.5,32.6,20.6,18.0,84.7,Università degli Studi di PADOVA 
455653431259753.0,0.7,4.1,12.1,1.3,3.6,21.8,Università degli Studi di PADOVA 
455653531358753.0,6.0,5.6,30.7,15.7,7.4,65.4,Università degli Studi di PADOVA 
455653542149955.0,6.0,5.6,26.6,11.9,12.7,62.8,Università degli Studi di PADOVA 
455653553138843.0,6.0,3.7,21.2,14.9,8.6,54.4,Università degli Studi di PADOVA 
455654543149754.0,4.5,-1.6,25.4,12.7,14.6,55.6,Università degli Studi di PADOVA 
455655431348745.0,4.1,5.6,21.2,14.9,10.0,55.8,Università degli Studi di PADOVA 
456433352339855.0,6.0,7.5,34.5,16.1,19.5,83.6,Università degli Studi di PADOVA 
456433531149744.0,6.0,5.6,34.5,13.0,8.1,67.2,Università degli Studi di PADOVA 
456433533148754.0,4.1,7.5,32.6,20.6,11.2,76.0,Università degli Studi di PADOVA 
456433541249853.0,0.3,3.7,20.9,14.2,10.8,49.9,Università degli Studi di PADOVA 
456433552358954.0,6.0,7.5,23.5,2.8,15.7,55.5,Università degli Studi di PADOVA 
456434441158953.0,6.0,7.5,31.1,19.1,10.8,74.5,Università degli Studi di PADOVA 
456434453239753.0,2.6,5.6,25.4,19.1,10.5,63.2,Università degli Studi di PADOVA 
456434552159845.0,6.0,7.5,34.5,20.6,17.6,86.2,Università degli Studi di PADOVA 
456434552239953.0,4.1,7.5,34.5,15.7,16.5,78.3,Università degli Studi di PADOVA 
456435331138843.0,4.1,5.6,21.6,5.4,-1.4,35.3,Università degli Studi di PADOVA 
456435342339943.0,4.1,5.6,11.8,2.5,14.6,38.6,Università degli Studi di PADOVA 
456435353348843.0,4.5,7.5,34.5,22.5,19.5,88.5,Università degli Studi di PADOVA 
456435541238954.0,0.7,-0.1,8.3,7.8,5.5,22.2,Università degli Studi di PADOVA 
456443533139743.0,2.6,5.6,30.7,21.0,16.5,76.4,Università degli Studi di PADOVA 
456443541139955.0,6.0,7.5,30.7,22.5,16.5,83.2,Università degli Studi di PADOVA 
456443543249843.0,6.0,6.0,33.0,17.2,12.7,74.9,Università degli Studi di PADOVA 
456444331158954.0,6.0,6.0,31.1,15.7,5.6,64.4,Università degli Studi di PADOVA 
456444432138755.0,2.6,7.5,11.1,-0.4,3.0,23.8,Università degli Studi di PADOVA 
456444451138845.0,2.2,4.1,25.4,8.9,3.7,44.3,Università degli Studi di PADOVA 
456444541238745.0,2.6,5.6,19.7,9.3,13.1,50.3,Università degli Studi di PADOVA 
456444543239945.0,6.0,7.5,26.2,16.1,14.6,70.4,Università degli Studi di PADOVA 
456453343339855.0,6.0,4.1,27.3,17.6,4.1,59.1,Università degli Studi di PADOVA 
456453433158953.0,6.0,5.6,32.6,18.7,17.6,80.5,Università degli Studi di PADOVA 
456453442158953.0,0.3,-2.0,16.3,10.0,4.3,28.9,Università degli Studi di PADOVA 
456453442349943.0,4.5,7.5,6.6,4.8,10.8,34.2,Università degli Studi di PADOVA 
456453452238755.0,6.0,2.2,27.3,19.1,18.0,72.6,Università degli Studi di PADOVA 
456453543359743.0,6.0,6.0,34.5,18.7,18.0,83.2,Università degli Studi di PADOVA 
456454352349743.0,4.5,5.6,29.2,1.5,7.5,48.3,Università degli Studi di PADOVA 
456454451349844.0,6.0,3.7,32.6,17.2,8.9,68.4,Università degli Studi di PADOVA 
456455443139945.0,4.1,0.3,5.7,-1.0,5.2,14.3,Università degli Studi di PADOVA 
456455533358853.0,4.5,2.2,22.4,8.1,1.4,38.6,Università degli Studi di PADOVA 
456455543139843.0,0.7,1.8,32.6,20.6,6.2,61.9,Università degli Studi di PADOVA 
456533331238843.0,4.1,5.6,29.2,21.0,14.6,74.5,Università degli Studi di PADOVA 
456533342159955.0,2.6,3.7,27.7,8.1,5.5,47.6,Università degli Studi di PADOVA 
456533342358854.0,6.0,3.7,32.6,22.5,6.7,71.5,Università degli Studi di PADOVA 
456533351159944.0,2.2,5.6,22.8,11.5,8.9,51.0,Università degli Studi di PADOVA 
456533542339845.0,4.1,7.5,34.5,20.6,19.5,86.2,Università degli Studi di PADOVA 
456534433238753.0,3.0,4.1,22.4,4.8,11.9,46.2,Università degli Studi di PADOVA 
456534452358743.0,6.0,5.6,26.9,22.5,16.1,77.1,Università degli Studi di PADOVA 
456535331139944.0,1.1,4.1,21.7,18.0,13.5,58.4,Università degli Studi di PADOVA 
456535333358953.0,6.0,7.5,32.6,14.6,15.7,76.4,Università degli Studi di PADOVA 
456535343158944.0,6.0,7.5,34.5,20.6,19.5,88.1,Università degli Studi di PADOVA 
456535351338843.0,6.0,5.6,24.7,17.6,13.1,67.0,Università degli Studi di PADOVA 
456535353238954.0,4.1,7.5,29.2,17.6,16.1,74.5,Università degli Studi di PADOVA 
456535433359944.0,6.0,7.5,30.7,16.8,13.8,74.8,Università degli Studi di PADOVA 
456535441348953.0,6.0,7.5,34.5,22.5,18.0,88.5,Università degli Studi di PADOVA 
